_id,barcode,category,categoryCode,name,topBrand,brandCode,cpgId
592486bfe410d61fcea3d139,511111300700,Beauty,,ST. IVES,False,ST IVES,5332f5f6e4b03c9a25efd0b4
5c4699f387ff3577e203ea29,511111305125,Baby,,Chris Image Test,,CHRISIMAGE,55b62995e4b0d8e685c14213
5da6071ea60b87376833e34d,511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,,ALKA SELTZER,5d9b4f591dda2c6225a284aa
57ebc011e4b0ac389136a335,511111802129,Condiments & Sauces,,Jack Daniel's,False,JACK DANIEL'S BARBECUE,559c2234e4b06aca36af13c6
5332f5fee4b03c9a25efd0bd,511111303947,,,Bottled Starbucks,,,53e10d6368abd3c7065097cc
5332fa7ce4b03c9a25efd22e,511111802914,,,Full Throttle,,,5332f5ebe4b03c9a25efd0a8
5e9f18bfbe37ce3e45b6a77f,511111914549,Baking,BAKING,PopUp Brand A,,,5e9f12f5be37ce3e45b6a77e
592486bee410d61fcea3d133,511111400769,Frozen,,MAGNUM Ice Cream,False,MAGNUM Ice Cream,5332f5f6e4b03c9a25efd0b4
5d66d71fa3a018093ab34728,511111105329,Magazines,,Elegant Homes Magazine,,511111105329,5d5d4fd16d5f3b23d1bc7905
5f493e72be37ce64d0ae36c6,511111316114,Baking,BAKING,test brand @1598635634882,,TEST BRANDCODE @1598635634882,5f493e72be37ce64d0ae36c2
5f4936ddbe37ce52f8314fd9,511111315957,Baking,BAKING,test brand @1598633693011,,,5f4936dcbe37ce52f8314fd8
57ebc2e7e4b0ac389136a34b,511111201915,Grocery,,Taco Bell,False,TACO BELL,559c2234e4b06aca36af13c6
5fd2a0aebe37ce49eb72c0ee,511111518112,Baking,BAKING,test brand @1607639214411,False,,5fd2a0aebe37ce49eb72c0ed
5dc03596a60b873d6b0666cd,511111506249,Breakfast & Cereal,,Frosted Cheerios™,,FROSTED CHEERIOS,53e10d6368abd3c7065097cc
5f494c5f04db711dd8fe87e6,511111916161,Baking,BAKING,test brand @1598639199674,,TEST BRANDCODE @1598639199674,5f494c5d04db711dd8fe87e2
5332f772e4b03c9a25efd125,511111103653,,,Gold Medal,,,5332f5f3e4b03c9a25efd0ae
59dfaad1e4b0a56a2fa69abc,511111100621,Baking,,GODIVA Instant Pudding Mix,False,GODIVA DRY PACKAGED DESSERTS,559c2234e4b06aca36af13c6
5daf33e71dda2c3e1416ae93,511111305910,Snacks,,LÄRABAR™,,LARABAR,5332f5f3e4b03c9a25efd0ae
5f35a0babe37ce6853cff1ff,511111115366,Baking,BAKING,test brand @1597350074333,,TEST BRANDCODE @1597350074333,5f35a0babe37ce6853cff1fd
5fd29590be37ce38bbbefb28,511111718079,Baking,BAKING,test brand @1607636368717,False,TEST BRANDCODE @1607636368717,5fd29590be37ce38bbbefb25
5fd3acb6be37ce0d9386bb40,511111818182,Baking,BAKING,test brand @1607707830095,False,TEST BRANDCODE @1607707830095,5fd3acb5be37ce0d9386bb3e
5bd200a6965c7d66d92731ea,511111504627,Household,,Cottonelle,False,COTTONELLE,550b2565e4b001d5e9e4146f
585a9675e4b03e62d1ce0e7f,511111301691,Beverages,,Izze,False,IZZE,5332f5fbe4b03c9a25efd0ba
5887a17ee4b02187f85cdad3,511111101178,Beverages,,Mio,False,MIO,559c2234e4b06aca36af13c6
5332f765e4b03c9a25efd11f,511111503699,,,Glaceau vitaminwater,,,5332f5ebe4b03c9a25efd0a8
5d66d94d6d5f3b6188d4f04b,511111505365,Magazines,,Magnolia Journal Magazine,,511111505365,5d5d4fd16d5f3b23d1bc7905
5d66d2fd6d5f3b6188d4f045,511111405252,Magazines,,American Patchwork & Quilting Magazine,,QUILTING SPECIAL EDITION,5d5d4fd16d5f3b23d1bc7905
5332f5f3e4b03c9a25efd0ad,511111104025,,,Gree Giant,,,5332f5f3e4b03c9a25efd0ae
5fa1c567be37ce402c4618f1,511111317203,Baking,BAKING,test brand @1604437351617,False,TEST BRANDCODE @1604437351617,5fa1c567be37ce402c4618ef
5a5d1e76e4b0db471c2d0425,511111900337,Beer Wine Spirits,,Herman Joseph's,,HERMAN,5332f709e4b03c9a25efd0f1
55b630d9e4b0d8e685c1421f,511111302629,,,Sundrop,,,55b62995e4b0d8e685c14213
5d602d9d6d5f3b23d1bc7907,511111704935,Beverages,,Kevita Sparkling Drinks,,KEVITA,5332f5fbe4b03c9a25efd0ba
57ebbf75e4b0ac389136a32f,511111902188,Frozen,,Delimex,False,DELIMEX,559c2234e4b06aca36af13c6
5d2f68d96d5f3b107e208da4,511111004844,Personal Care,,THE RIGHT TO SHOWER,,THE RIGHT TO SHOWER,5332f5f6e4b03c9a25efd0b4
592486bde410d61fcea3d124,511111100904,Personal Care,,CARESS,False,CARESS,5332f5f6e4b03c9a25efd0b4
5f16f536be37ce2b30061e27,511111115083,Baking,BAKING,test brand @1595340086044,,TEST BRANDCODE @1595340086044,5f16f535be37ce2b30061e24
5332f6ede4b03c9a25efd0e5,511111603870,,,Blue Bunny,,,5332f6ede4b03c9a25efd0e6
5332fa05e4b03c9a25efd1d6,511111103141,,,Krave,,,5332f5f2e4b03c9a25efd0aa
5f3d6f44be37ce4ddbb1bb3e,511111315513,Baking,BAKING,test brand @1597861700968,,TEST BRANDCODE @1597861700968,5f3d6f44be37ce4ddbb1bb3a
5c76d3cd95144c5375687b4f,511111106876,Grocery,,DASH-2249 Brand1,True,TEST BRAND CODE,5c76d20595144c5375687b4e
5f3ff223be37ce1c81aa1e11,511111115649,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598026275245,,TEST BRANDCODE @1598026275245,5332fa12e4b03c9a25efd1e7
5a8c36dbe4b0ccf165fac9e9,511111204206,Canned Goods & Soups,,Swanson,False,SWANSON,5a734034e4b0d58f376be874
55b630e1e4b0d8e685c14220,511111102618,,,A&W Rootbeer,,,55b62995e4b0d8e685c14213
5f3ff222be37ce1c81aa1e0f,511111415626,Baking,BAKING,test brand @1598026274668,,TEST BRANDCODE @1598026274668,5f3ff222be37ce1c81aa1e0c
5c76db7295144c5375687b50,511111306887,Frozen,,DASH-2249 Brand2,False,DASH-2249 1,5c76d20595144c5375687b4e
5da609991dda2c3e1416ae90,511111805854,Health & Wellness,,ONE A DAY® WOMENS,False,511111805854,53e10d6368abd3c7065097cc
5afda575e4b0c11cfecd49f9,511111104537,Snacks,,Kettle Brand,False,KETTLE BRAND,5a734034e4b0d58f376be874
5ab154dde4b0915382df761f,511111404392,Canned Goods & Soups,,Campbell's Soup at Hand,False,CAMPBELLS SOUP AT HAND ,5a734034e4b0d58f376be874
5f3e9195be37ce5a0e01b960,511111615583,Baking,BAKING,test brand @1597936021514,,,5f3e9195be37ce5a0e01b95f
5fb82faebe37ce522e165ce9,511111117841,Grocery,GROCERY,Rainbo,False,RAINBO,5fb6b608be37ce522e165cb9
57e58157e4b0ac389136a30a,511111602279,Beer Wine Spirits,,Crispin Cider Company,False,CRISPIN,5332f709e4b03c9a25efd0f1
5fd3acb6be37ce0d9386bb41,511111318194,Baking,BAKING,test brand @1607707830137,False,TEST BRANDCODE @1607707830137,5fd3acb5be37ce0d9386bb3e
5e90a545ee7f2d70340f40d7,511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,Claritin®,False,CLARITIN®,5d9b4f591dda2c6225a284aa
5daf5e94a60b87376833e362,511111706045,Breakfast & Cereal,,Cookie Crisp™,,COOKIE CRISP,5332f5f3e4b03c9a25efd0ae
5fb2852cbe37ce522e165caf,511111717317,Baking,BAKING,test brand @1605535020441,False,TEST BRANDCODE @1605535020442,5fb2852cbe37ce522e165cae
5332f743e4b03c9a25efd109,511111903789,Snacks,,Keebler,,,5332f5f2e4b03c9a25efd0aa
5fa98944be37ce239d107100,511111417262,Baking,BAKING,test brand @1604946244750,False,TEST BRANDCODE @1604946244750,5fa98944be37ce239d1070ff
5afda65de4b0c11cfecd49fb,511111004561,Snacks,,SNYDERS OF HANOVER,False,SNYDERS OF HANOVER,5a734034e4b0d58f376be874
5332fa7ee4b03c9a25efd230,511111702894,,,Powerade,,,5332f5ebe4b03c9a25efd0a8
57ebbfafe4b0ac389136a332,511111002154,Condiments & Sauces,,Good Seasons,False,GOOD SEASONS,559c2234e4b06aca36af13c6
5f493682be37ce52f8314fce,511111115922,Baking,BAKING,test brand @1598633602279,,TEST BRANDCODE @1598633602279,5f493682be37ce52f8314fcb
57ace91ae4b057c992a316ac,511111602552,,,Pizza Pizza Pizza,,,57ace90fe4b057c992a316ab
5a5d2431e4b06ba572cf24a1,511111200246,Beer Wine Spirits,,Revolver,,REVOLVER,5332f709e4b03c9a25efd0f1
57e5810ce4b0ac389136a307,511111802280,Beer Wine Spirits,,Keystone Light,False,KEYSTONE LIGHT,5332f709e4b03c9a25efd0f1
5332f5f2e4b03c9a25efd0ab,511111604037,,,Our Family,,,5332f5f3e4b03c9a25efd0ac
5db9f9cca60b87376833e36b,511111806226,Snacks,,Fruit Roll-Ups™,,BETTY CROCKER FRUIT ROLL UPS,5332f5f3e4b03c9a25efd0ae
5fd2a0c0be37ce49eb72c0f4,511111118169,Candy & Sweets,CANDY_AND_SWEETS,test brand @1607639232356,False,TEST BRANDCODE @1607639232356,5332fa12e4b03c9a25efd1e7
5aa1b41de4b086c8aad5e096,511111304265,Condiments & Sauces,,MOMOFUKU Sauce,False,MOMOFUKU,559c2234e4b06aca36af13c6
592486bee410d61fcea3d136,511111500735,Frozen,,POPSICLE,False,POPSICLE,5332f5f6e4b03c9a25efd0b4
5332f603e4b03c9a25efd0be,511111103936,Beverages,,Mug Root Beer,False,MUG Root Beer,5332f5fbe4b03c9a25efd0ba
5afda699e4b0c11cfecd49fd,511111704584,Snacks,,Tom's,False,TOMS,5a734034e4b0d58f376be874
5fc54c0bbe37ce1911dbb3b5,511111017899,Baking,BAKING,test brand @1606765579244,False,TEST BRANDCODE @1606765579244,5fc54c0abe37ce1911dbb3b1
5f358338be37ce443bf9d55b,511111715320,Baking,BAKING,test brand @1597342520305,,TEST BRANDCODE @1597342520305,5f358338be37ce443bf9d557
592486bfe410d61fcea3d137,511111000723,Dairy,,PROMISE,,PROMISE,53e10d6368abd3c7065097cc
5a4d2295e4b0d5c3fd86b679,511111200529,Snacks,,OFF THE EATEN PATH,,OFF THE EATEN PATH,5332f5fbe4b03c9a25efd0ba
5f628216be37ce78e6e2efaf,511111116684,Candy & Sweets,CANDY_AND_SWEETS,test brand @1600291350125,,TEST BRANDCODE @1600291350125,5332fa12e4b03c9a25efd1e7
5332f9fce4b03c9a25efd1cd,511111003199,,,Honey Smacks,,,5332f5f2e4b03c9a25efd0aa
5f9770bfbe37ce03d08a2d85,511111117070,Baking,BAKING,test brand @1603760319758,,TEST BRANDCODE @1603760319758,5f9770bfbe37ce03d08a2d83
57ebc293e4b0ac389136a345,511111301974,Frozen,,Nancy's,False,NANCY'S,559c2234e4b06aca36af13c6
5f513e9ebe37ce21f1287c00,511111816492,Baking,BAKING,test brand @1599159966676,,,5f513e9ebe37ce21f1287bff
5332f7b8e4b03c9a25efd145,511111903413,,,Stella Artois,,,5332f7a7e4b03c9a25efd134
5ab153fee4b0915382df761e,511111704379,Canned Goods & Soups,,Campbell's Chunky Maxx,False,CAMPBELLS CHUNKY MAXX,5a734034e4b0d58f376be874
5aa1b5b9e4b05a92fc9b1631,511111004288,Condiments & Sauces,,FOOD NETWORK KITCHEN INSPIRATIONS,False,FOOD NETWORK KITCHEN INSPIRATIONS,559c2234e4b06aca36af13c6
5f3e9172be37ce5a0e01b954,511111215547,Baking,BAKING,test brand @1597935986390,,TEST BRANDCODE @1597935986390,5f3e9172be37ce5a0e01b952
5f4936ddbe37ce52f8314fdc,511111015970,Baking,BAKING,test brand @1598633693744,,TEST BRANDCODE @1598633693744,5f4936ddbe37ce52f8314fda
57c0829ce4b0718ff5fcb03a,511111002437,,,Victoria,,,5332f7a7e4b03c9a25efd134
5a4d244ae4b0bcb2c74ea77f,511111500506,Snacks,,SABRITAS,,SABRITAS,5332f5fbe4b03c9a25efd0ba
57ebbfa1e4b0ac389136a330,511111702177,Beverages,,Gevalia,False,GEVALIA KAFFE,559c2234e4b06aca36af13c6
5f43faabbe37ce3ef3fd3715,511111115717,Baking,BAKING,test brand @1598290603501,,TEST BRANDCODE @1598290603501,5f43faabbe37ce3ef3fd3714
59d550f4e4b090070b009534,511111600633,Dairy,,"O, That's Good!",False,O THAT'S GOOD,559c2234e4b06aca36af13c6
585a9645e4b03e62d1ce0e79,511111801757,Snacks,,Chester's,True,CHESTER'S,5332f5fbe4b03c9a25efd0ba
585a968ee4b03e62d1ce0e82,511111101666,Snacks,,Miss Vickies,,MISS VICKIE'S,5332f5fbe4b03c9a25efd0ba
5d2f6b82a3a01810a2174aed,511111704867,Condiments & Sauces,,SIR KENSINGTON'S,,SIR KENSINGTON'S,5332f5f6e4b03c9a25efd0b4
5fa98944be37ce239d1070fe,511111217251,Baking,BAKING,test brand @1604946244133,False,,5fa98944be37ce239d1070fd
5332f9f2e4b03c9a25efd1c8,511111803232,,,Crispix,,,5332f5f2e4b03c9a25efd0aa
55a41b55e4b0d0a65b3692ef,511111502708,,,NessAlla,,,55a41b4be4b0d0a65b3692ee
5887a372e4b02187f85cdad9,511111001119,Snacks,,Doritos,True,DORITOS,5332f5fbe4b03c9a25efd0ba
57ed0697e4b072ac2294b8f2,511111101895,Condiments & Sauces,,A.1.,True,A.1.,559c2234e4b06aca36af13c6
55b630c2e4b0d8e685c1421d,511111002642,,,RC Cola,,,55b62995e4b0d8e685c14213
5332f605e4b03c9a25efd0c0,511111403913,,,Amp,,,5332f5fbe4b03c9a25efd0ba
5f43faabbe37ce3ef3fd3716,511111315728,Baking,BAKING,test brand @1598290603587,,TEST BRANDCODE @1598290603587,5f43faabbe37ce3ef3fd3714
5d66de49a3a018093ab3472a,511111505433,Beverages,,Looza Fruit Juices,,LOOZA JUICES,5332f5fbe4b03c9a25efd0ba
5da605dc1dda2c3e1416ae83,511111005582,Health & Wellness,,Aleve®,,ALEVE,5d9b4f591dda2c6225a284aa
5e3876bfee7f2d697e835bd3,511111613961,Beauty,,Soft-Sheen Carson - Hair Color,,SOFT-SHEEN CARSON - HAIR COLOR,5e28b81cee7f2d697e835bcd
5fa98945be37ce239d107104,511111217305,Candy & Sweets,CANDY_AND_SWEETS,test brand @1604946245498,False,TEST BRANDCODE @1604946245499,5332fa12e4b03c9a25efd1e7
57ebc11fe4b0ac389136a33a,511111802075,Baking,,Kraft Caramels,False,,559c2234e4b06aca36af13c6
5f494c5f04db711dd8fe87e5,511111716150,Baking,BAKING,test brand @1598639199117,,TEST BRANDCODE @1598639199117,5f494c5d04db711dd8fe87e2
5bd201a990fa074576779a19,511111104698,Baby,,Pull-Ups,False,PULL UPS,550b2565e4b001d5e9e4146f
5fb2852cbe37ce522e165cb1,511111417330,Baking,BAKING,test brand @1605535020629,False,TEST BRANDCODE @1605535020629,5fb2852cbe37ce522e165cae
5332f60ce4b03c9a25efd0c3,511111303893,Beverages,,Brisk Iced Tea,False,BRISK,5332f5fbe4b03c9a25efd0ba
5a7e0604e4b0aedb3b84afd3,511111504139,Beverages,,Chris Brand XYZ,,CHRISXYZ,55b62995e4b0d8e685c14213
5332f9f2e4b03c9a25efd1c7,511111003243,,,All-Bran,,,5332f5f2e4b03c9a25efd0aa
57ebbd44e4b0ac389136a32d,511111002208,Condiments & Sauces,,Bull's Eye,False,BULL'S-EYE,559c2234e4b06aca36af13c6
592486bee410d61fcea3d12f,511111600794,Frozen,,KLONDIKE,False,KLONDIKE,5332f5f6e4b03c9a25efd0b4
592486bee410d61fcea3d12a,511111600848,Frozen,,FRUTTARE,,FRUTTARE,53e10d6368abd3c7065097cc
5da60576a60b87376833e349,511111305569,Health & Wellness,,AFRIN® NO DRIP PUMP MISTS,,511111305569,53e10d6368abd3c7065097cc
5332f5f5e4b03c9a25efd0b0,511111404002,,,Betty Crocker,,,5332f5f3e4b03c9a25efd0ae
580dff9fe4b0f32b2de21382,511111701859,Baking,,Knox Gelatin,False,KNOX,559c2234e4b06aca36af13c6
5da608131dda2c3e1416ae8a,511111505716,Health & Wellness,,Claritin® ADULTS,,511111505716,53e10d6368abd3c7065097cc
588b9f8fe4b02187f85cdada,511111501107,Snacks,,Planters,False,PLANTERS,559c2234e4b06aca36af13c6
592486bde410d61fcea3d127,511111800873,Personal Care,PERSONAL_CARE,DEGREE,False,DEGREE,5332f5f6e4b03c9a25efd0b4
5a4d23dae4b0bcb2c74ea77e,511111000518,Beverages,,Caleb's Kola,False,CALEB'S KOLA,5332f5fbe4b03c9a25efd0ba
5d66dc946d5f3b6188d4f04e,511111305408,Beverages,,Lemon Lemon Sparkling Drinks,,LEMON LEMON,5332f5fbe4b03c9a25efd0ba
592486bfe410d61fcea3d140,511111300656,Personal Care,PERSONAL_CARE,VASELINE,False,VASELINE,5332f5f6e4b03c9a25efd0b4
5d658ff3a3a018514994f432,511111005216,Magazines,,Cooking Light Magazine,,511111005216,53e10d6368abd3c7065097cc
5fcda494be37ce688e08b0cc,511111817932,Baking,BAKING,test brand @1607312532178,False,TEST BRANDCODE @1607312532178,5fcda494be37ce688e08b0cb
5ef4f667be37ce2efae842ea,511111715047,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Pinesol,,PINESOL,5eebc5412455c97a877ef382
55b6308ee4b0d8e685c1421a,511111202677,,,Snapple,,,55b62995e4b0d8e685c14213
5332f760e4b03c9a25efd11b,511111603719,,,Honest Ade,,,5332f5ebe4b03c9a25efd0a8
5f16f536be37ce2b30061e29,511111215103,Candy & Sweets,CANDY_AND_SWEETS,test brand @1595340086791,,TEST BRANDCODE @1595340086791,5332fa12e4b03c9a25efd1e7
5d642dbfa3a018514994f42e,511111005148,Magazines,,Shape,,511111005148,5d5d4fd16d5f3b23d1bc7905
5e3875d2ee7f2d697e835bce,511111013914,Beauty,,Essie,,ESSIE,5e28b81cee7f2d697e835bcd
5332f9f3e4b03c9a25efd1c9,511111303220,,,Pop-tarts,,,5332f5f2e4b03c9a25efd0aa
5c45f91b87ff3552f950f027,511111204923,Grocery,,Brand1,True,0987654321,5c45f8b087ff3552f950f026
58861c7d4e8d0d20bc42c4d6,511111601449,Snacks,,Jell-O Refrigerated Pudding & Gelatin,False,,559c2234e4b06aca36af13c6
55b630fde4b0d8e685c14223,511111502586,,,Diet Dr. Pepper,,,55b62995e4b0d8e685c14213
5ab158e8e4b0915382df7622,511111404446,Canned Goods & Soups,,Campbell's Well Yes!,False,CAMPBELLS WELL YES,5a734034e4b0d58f376be874
5fcda494be37ce688e08b0cf,511111717966,Baking,BAKING,test brand @1607312532304,False,TEST BRANDCODE @1607312532304,5fcda494be37ce688e08b0cb
5f3ff222be37ce1c81aa1e0e,511111215615,Baking,BAKING,test brand @1598026274643,,TEST BRANDCODE @1598026274643,5f3ff222be37ce1c81aa1e0c
5f772952be37ce6b592e90d2,511111816775,Baking,BAKING,test brand @1601644881995,,TEST BRANDCODE @1601644881995,5f772951be37ce6b592e90d1
5fa1c568be37ce402c4618f6,511111717249,Baking,BAKING,test brand @1604437352935,False,,5fa1c568be37ce402c4618f5
5fb82236be37ce522e165cdf,511111217749,,,Beef Steak,False,BEEF STEAK,5fb6b608be37ce522e165cb9
5a02188be4b00d6a5ccb394d,511111300588,Beauty,,POND'S,False,POND'S,5332f5f6e4b03c9a25efd0b4
5e387617ee7f2d697e835bd0,511111713937,Beauty,,L’Oreal Paris - Cosmetics,,L’OREAL PARIS - COSMETICS,5e28b81cee7f2d697e835bcd
57ebc2ace4b0ac389136a346,511111801962,Deli,,P3,False,,559c2234e4b06aca36af13c6
5da6094ca60b87376833e357,511111605829,Health & Wellness,,ONE A DAY® MENS,,511111605829,53e10d6368abd3c7065097cc
5f16f536be37ce2b30061e28,511111615095,Baking,BAKING,test brand @1595340086078,,TEST BRANDCODE @1595340086078,5f16f535be37ce2b30061e24
5f872b84be37ce66db5dd97a,511111917045,Candy & Sweets,CANDY_AND_SWEETS,test brand @1602694020787,,TEST BRANDCODE @1602694020787,5332fa12e4b03c9a25efd1e7
585a9726e4b03e62d1ce0e95,511111501497,Beverages,,Tazo,,,53e10d6368abd3c7065097cc
5f7ba645be37ce23081c528d,511111516910,Baking,BAKING,test brand @1601939013649,,TEST BRANDCODE @1601939013649,5f7ba644be37ce23081c5289
5332f7d3e4b03c9a25efd14e,511111803393,Snacks,,Cheez-It,,,5332f5f2e4b03c9a25efd0aa
5f504acabe37ce0b793c9418,511111316480,Baking,BAKING,test brand @1599097546963,,,5f504acabe37ce0b793c9417
5afda3a8e4b03bf01c2a2967,511111604525,Snacks,,Snack Factory,False,SNACK FACTORY,5a734034e4b0d58f376be874
57c08294e4b0718ff5fcb039,511111202448,,,Jupiler,,,5332f7a7e4b03c9a25efd134
5332f77ce4b03c9a25efd12a,511111703617,,,Gardetto's,,,5332f5f3e4b03c9a25efd0ae
5332f9ede4b03c9a25efd1c2,511111403289,,,Danimals,,,5332f7ffe4b03c9a25efd16b
58861c7e4e8d0d20bc42c4e2,511111201403,Beer Wine Spirits,,Miller 64,False,MILLER64,5332f709e4b03c9a25efd0f1
592486bee410d61fcea3d12d,511111700814,Dairy,,I CAN'T BELIEVE IT'S NOT BUTTER!,,I CAN'T BELIEVE IT'S NOT BUTTER!,53e10d6368abd3c7065097cc
5da608dfa60b87376833e354,511111805786,Health & Wellness,,ONE A DAY® ENERGY ,,511111805786,53e10d6368abd3c7065097cc
5ffe3a87be37ce7aab2d4fd9,511111419532,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610496647142,False,TEST BRANDCODE @1610496647142,5332fa12e4b03c9a25efd1e7
5ffe3a87be37ce7aab2d4fdb,511111619543,Baking,BAKING,test brand @1610496647311,False,,5ffe3a87be37ce7aab2d4fda
5ffe3a86be37ce7aab2d4fd7,511111719519,Baking,BAKING,test brand @1610496646289,False,TEST BRANDCODE @1610496646289,5ffe3a85be37ce7aab2d4fd4
5fff3a7abe37ce2bb793010e,511111119555,Baking,BAKING,test brand @1610562170795,False,,5fff3a7abe37ce2bb793010d
5ffe3a86be37ce7aab2d4fd8,511111919520,Baking,BAKING,test brand @1610496646345,False,TEST BRANDCODE @1610496646345,5ffe3a85be37ce7aab2d4fd4
5ffe3a86be37ce7aab2d4fd6,511111219507,Baking,BAKING,test brand @1610496646232,False,TEST BRANDCODE @1610496646232,5ffe3a85be37ce7aab2d4fd4
5ffe35eabe37ce5e01754c47,511111219385,Baking,BAKING,test brand @1610495466218,False,TEST BRANDCODE @1610495466218,5ffe35eabe37ce5e01754c45
5ffe347ebe37ce5e01754c3f,511111119326,Baking,BAKING,test brand @1610495102462,False,TEST BRANDCODE @1610495102462,5ffe347ebe37ce5e01754c3d
5ffe35eabe37ce5e01754c48,511111719397,Baking,BAKING,test brand @1610495466250,False,TEST BRANDCODE @1610495466250,5ffe35eabe37ce5e01754c45
57ebc28be4b0ac389136a344,511111501985,Condiments & Sauces,,Miracle Whip,False,KRAFT MIRACLE WHIP,559c2234e4b06aca36af13c6
58b59989e4b0857c2ddb7255,511111400998,Beer Wine Spirits,,Redd's Wicked,False,,5332f709e4b03c9a25efd0f1
5f403232be37ce5f78d9ed19,511111015697,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598042674173,,TEST BRANDCODE @1598042674173,5332fa12e4b03c9a25efd1e7
5f493e72be37ce64d0ae36c4,511111216094,Baking,BAKING,test brand @1598635634796,,TEST BRANDCODE @1598635634796,5f493e72be37ce64d0ae36c2
5a5d257fe4b06ba572cf24a3,511111300212,Beer Wine Spirits,,Sheaf Stout,,SHEAF STOUT,5332f709e4b03c9a25efd0f1
585a963ce4b03e62d1ce0e78,511111001768,Snacks,,Cheetos,True,CHEETOS,5332f5fbe4b03c9a25efd0ba
5fb82a68be37ce522e165ce6,511111217817,Grocery,GROCERY,Nature's Harvest,False,NATURES HARVEST,5fb6b608be37ce522e165cb9
5d6415d5a3a018514994f429,511111605058,Magazines,,Health Magazine,,511111605058,5d5d4fd16d5f3b23d1bc7905
5332fa7ae4b03c9a25efd229,511111402961,,,Fanta,,,5332f5ebe4b03c9a25efd0a8
5f494c5e04db711dd8fe87e4,511111216148,Baking,BAKING,test brand @1598639198570,,TEST BRANDCODE @1598639198570,5f494c5d04db711dd8fe87e2
5f772951be37ce6b592e90d0,511111316763,Baking,BAKING,test brand @1601644881253,,,5f772951be37ce6b592e90cf
5f504ac2be37ce0b793c9415,511111616467,Baking,BAKING,test brand @1599097538609,,TEST BRANDCODE @1599097538609,5f504ac2be37ce0b793c9411
5bd201cc965c7d66d92731ee,511111704706,Household,,Scott,False,SCOTT,550b2565e4b001d5e9e4146f
5fd2a0bfbe37ce49eb72c0f1,511111218135,Baking,BAKING,test brand @1607639231674,False,TEST BRANDCODE @1607639231674,5fd2a0bfbe37ce49eb72c0ef
5daf3507a60b87376833e35c,511111505921,Health & Wellness,,EPIC™,,EPIC,5332f5f3e4b03c9a25efd0ae
